cluster_id,hits,hit_rate,birth,death,persistence,robust
4,196,0.98,2.5793811911463522,4.567689987362621,1.9883087962162689,True
7,150,0.75,2.2319521378497686,4.462423550352758,2.2304714125029896,False
1,149,0.745,3.0821201509358933,5.1113802754149145,2.029260124479021,False
3,143,0.715,2.967553777294559,4.871485696805941,1.9039319195113815,False
0,118,0.59,2.7427158797813567,4.9581272744185085,2.215411394637152,False
8,103,0.515,2.5911942422389984,4.871242616857801,2.280048374618803,False
10,79,0.395,2.513827513840239,4.374813237432706,1.8609857235924672,False
6,62,0.31,1.900133728981018,4.558729064080023,2.658595335099005,False
11,60,0.3,1.7391027212142944,4.4898108959198,2.7507081747055055,False
14,47,0.235,1.900133728981018,4.404761791229248,2.50462806224823,False
5,40,0.2,2.814486954428933,4.63419264013117,1.8197056857022371,False
13,27,0.135,1.7391027212142944,4.6924068486249,2.953304127410606,False
17,15,0.075,3.1858829941068376,4.872287392616272,1.6864043985094344,False
16,12,0.06,2.5338772260225735,4.2000232476454515,1.6661460216228778,False
18,11,0.055,3.0216016586010275,4.680968321286715,1.6593666626856878,False
2,6,0.03,3.2785964012145996,5.086352666219075,1.8077562650044758,False
22,6,0.03,2.7472803195317588,4.427366813023885,1.6800864934921265,False
21,4,0.02,2.1838215589523315,4.63551139831543,2.451689839363098,False
15,3,0.015,2.310575008392334,4.74444580078125,2.433870792388916,False
9,3,0.015,2.310575008392334,4.478911876678467,2.168336868286133,False
20,3,0.015,3.1324148178100586,4.849922299385071,1.7175074815750122,False
25,2,0.01,2.5064029693603516,4.724747896194458,2.2183449268341064,False
12,2,0.01,2.458054304122925,4.570570707321167,2.112516403198242,False
24,2,0.01,2.7477633953094482,4.817503452301025,2.069740056991577,False
26,1,0.005,1.900133728981018,4.735068321228027,2.8349345922470093,False
19,1,0.005,3.476320505142212,5.046507358551025,1.5701868534088135,False
23,1,0.005,3.195963740348816,4.688382863998413,1.4924191236495972,False
