subject,roi,cluster_id,hits,hit_rate,birth,death,persistence,maxdist_full,shift_added,robust,B,subsample_frac,persist_floor_frac,top_L,cluster_tol_frac,min_hits,strict_tag
1,V1,1,194,0.97,4.709584606649153,7.467851995175724,2.758267388526571,15.547662199543549,8.910184175776077,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V1,2,170,0.85,4.24317060514938,7.434767745955046,3.191597140805666,15.547662199543549,8.910184175776077,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V1,0,157,0.785,5.164360534096385,7.68420203811571,2.519841504019324,15.547662199543549,8.910184175776077,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V1,4,53,0.265,4.495979293700187,7.8644214368635605,3.3684421431633735,15.547662199543549,8.910184175776077,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V1,6,35,0.175,5.538626410744407,7.924613987315785,2.385987576571378,15.547662199543549,8.910184175776077,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V1,5,4,0.02,4.27740752696991,7.805844783782959,3.5284372568130493,15.547662199543549,8.910184175776077,False,200,0.8,0.05,10,0.02,10,STRICT2
1,V1,7,2,0.01,5.076290130615234,7.372056007385254,2.2957658767700195,15.547662199543549,8.910184175776077,False,200,0.8,0.05,10,0.02,10,STRICT2
1,V1,3,1,0.005,4.0093607902526855,7.290970325469971,3.281609535217285,15.547662199543549,8.910184175776077,False,200,0.8,0.05,10,0.02,10,STRICT2
1,V2,0,197,0.985,3.844882745573941,6.441241268748224,2.596358523174283,13.230951489018036,7.747732878731323,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V2,1,119,0.595,4.345447429418564,6.536703094244003,2.1912556648254395,13.230951489018036,7.747732878731323,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V2,5,89,0.445,2.449465274810791,6.223208556014501,3.7737432812037093,13.230951489018036,7.747732878731323,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V2,2,81,0.405,3.3083462715148926,6.385575488761619,3.077229217246727,13.230951489018036,7.747732878731323,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V2,4,80,0.4,4.605055856116024,7.084323688789651,2.479267832673626,13.230951489018036,7.747732878731323,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V2,6,17,0.085,4.721873740355174,6.712139666080475,1.990265925725301,13.230951489018036,7.747732878731323,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V2,8,14,0.07,3.806958334786551,6.089023998805454,2.2820656640189037,13.230951489018036,7.747732878731323,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V2,7,8,0.04,4.226805686950684,6.25742408964369,2.0306184026930065,13.230951489018036,7.747732878731323,False,200,0.8,0.05,10,0.02,10,STRICT2
1,V2,3,1,0.005,3.627413272857666,6.500028133392334,2.872614860534668,13.230951489018036,7.747732878731323,False,200,0.8,0.05,10,0.02,10,STRICT2
