,V1,V2,V3,V4,PIT,PH,STSva,MT,LO2
V1,0.0,0.4510469739724805,0.5683530578079802,0.6716942783682704,0.7500846429085843,0.8682967861854897,0.9469926882209524,0.9444683766532174,0.8092431858460603
V2,0.4510469739724805,0.0,0.12567115612847024,0.5280922145985109,0.6075637693663563,0.8830207933384587,0.7028855825143454,0.6739889005962854,0.7206120036198169
V3,0.5683530578079801,0.12567115612847024,0.0,0.39298583546839416,0.535154138634957,0.8658136620344793,0.7453174093326445,0.593634358563933,0.6157659142917127
V4,0.6716942783682704,0.5280922145985107,0.3929858354683943,0.0,0.3924194986452536,0.698239059423472,0.9075304446536061,0.8093217079429309,0.40890546969999797
PIT,0.7500846429085843,0.6075637693663563,0.535154138634957,0.3924194986452536,0.0,0.6403295067413359,0.9337269281435594,0.8144137049434239,0.2612459132266486
PH,0.8682967861854897,0.8830207933384587,0.8658136620344793,0.6982390594234721,0.6403295067413359,0.0,0.9040351143818637,0.8578349692015382,0.5171386371582049
STSva,0.9469926882209524,0.7028855825143454,0.7453174093326445,0.9075304446536061,0.9337269281435594,0.9040351143818637,0.0,0.7712485396746475,0.9213482833329205
MT,0.9444683766532174,0.6739889005962852,0.593634358563933,0.8093217079429309,0.8144137049434239,0.8578349692015382,0.7712485396746475,0.0,0.7867584703309642
LO2,0.8092431858460603,0.7206120036198169,0.6157659142917127,0.4089054696999981,0.2612459132266487,0.5171386371582049,0.9213482833329204,0.7867584703309642,0.0
