subject,roi,n_nodes,strict_version,shift_added,maxdist_thresh,H1_n,H1_max_persistence,H1_median_persistence,H2_n,H2_max_persistence,H2_median_persistence,out_dir
4,V4,609,STRICT2,14.465776802109314,,6239,5.3679962158203125,0.5094451904296875,7434,1.2563886642456055,0.13054227828979492,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj04\ROI-V4
5,LO2,609,STRICT2,13.026232183979584,,11983,8.602438807487488,0.840388298034668,37871,1.5494003295898438,0.1574840545654297,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj05\ROI-LO2
5,MT,609,STRICT2,14.396942378090454,,10337,9.880205273628235,1.1677465438842773,65211,1.982553482055664,0.22891521453857422,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj05\ROI-MT
5,PH,609,STRICT2,11.14514446358545,,18502,7.330528259277344,0.9590620994567871,87528,1.429570198059082,0.15965890884399414,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj05\ROI-PH
5,PIT,609,STRICT2,9.853890896843506,,17404,6.247691988945007,0.8684284687042236,75269,1.4464468955993652,0.14825916290283203,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj05\ROI-PIT
5,STSva,609,STRICT2,8.288325906799866,,7538,5.034739375114441,0.5079531669616699,21437,1.0814647674560547,0.10444974899291992,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj05\ROI-STSva
5,V1,609,STRICT2,13.37098814647062,,7447,7.678346395492554,0.6767358779907227,30021,1.6942272186279297,0.15375041961669922,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj05\ROI-V1
5,V2,609,STRICT2,7.721623004482819,,6604,4.181135654449463,0.41434383392333984,30529,1.260209083557129,0.12782812118530273,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj05\ROI-V2
5,V3,609,STRICT2,9.426772237824036,,7083,5.271303653717041,0.49622249603271484,25627,1.2127060890197754,0.1301259994506836,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj05\ROI-V3
5,V4,609,STRICT2,11.842426897095276,,12092,7.402438640594482,0.7353792190551758,52637,1.3784637451171875,0.12622451782226562,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj05\ROI-V4
