cluster_id,hits,hit_rate,birth,death,persistence,robust
0,197,0.985,6.377431219102839,14.361366058787299,7.983934839684461,True
2,151,0.755,5.147373712792689,14.043261406373004,8.895887693580317,True
5,116,0.58,4.376542328933661,13.941796210504346,9.565253881570687,True
3,88,0.44,5.8234504699707035,14.684564039442275,8.861113569471572,True
4,86,0.43,3.5815844535827637,13.515162689741267,9.933578236158503,True
8,82,0.41,2.140336036682129,13.649564266204834,11.509228229522705,True
1,62,0.31,7.636940947524062,14.626238934628597,6.989297987104536,True
6,9,0.045,8.51496182169233,14.911553042275566,6.396591220583234,False
7,5,0.025,7.027892589569092,14.630809211730957,7.602916622161866,False
9,1,0.005,7.383273124694824,15.216817855834961,7.833544731140137,False
