cluster_id,hits,hit_rate,birth,death,persistence,robust
3,182,0.91,3.096061267334616,7.234165495765163,4.138104228430547,True
2,147,0.735,2.441398954092834,7.11659180794479,4.675192853851955,True
0,118,0.59,3.661912581990066,7.344349375048887,3.6824367930588213,True
9,61,0.305,1.8585155010223389,6.6195268630981445,4.761011362075806,True
4,45,0.225,2.905385136604309,6.741194050887535,3.835808914283226,True
1,45,0.225,4.183045326277267,7.621928203937619,3.438882877660352,True
5,12,0.06,1.8585155010223389,7.029123862584432,5.170608361562093,True
7,7,0.035,2.575573205947876,7.5290913581848145,4.9535181522369385,False
8,3,0.015,3.413886070251465,6.8254828453063965,3.4115967750549316,False
6,3,0.015,3.865191400051117,7.061888337135315,3.196696937084198,False
10,1,0.005,3.2139599323272705,7.59552001953125,4.3815600872039795,False
