cluster_id,hits,hit_rate,birth,death,persistence,robust
4,167,0.835,3.167237749887169,7.327554247794895,4.160316497907726,True
6,159,0.795,2.94750524630777,7.0081144336431,4.06060918733533,False
2,146,0.73,2.438289083782866,7.106411273981124,4.668122190198257,False
0,104,0.52,3.601327323913574,7.299061220200335,3.697733896286761,False
1,68,0.34,3.9661334433206696,7.57447759698077,3.6083441536600995,False
18,61,0.305,1.8585155010223389,6.6195268630981445,4.761011362075806,False
14,36,0.18,3.459959019062131,7.040312489797903,3.580353470735772,False
8,26,0.13,2.8758645057678223,6.6195268630981445,3.7436623573303223,False
16,20,0.1,2.56269109249115,7.453112339973449,4.8904212474822994,False
9,14,0.07,4.259178979056222,7.641976651691255,3.382797672635033,False
7,12,0.06,1.8585155010223389,7.029123862584432,5.170608361562093,False
5,11,0.055,3.421384612719218,7.537150541941325,4.115765929222107,False
11,10,0.05,3.981277972459793,7.266277015209198,3.284999042749405,False
13,6,0.03,3.675337382725307,7.009635380336216,3.3342979976109097,False
10,6,0.03,4.303506851196289,7.55657046181815,3.253063610621861,False
24,4,0.02,3.213035821914673,7.05526876449585,3.8422329425811768,False
23,3,0.015,2.8399107456207275,7.31934928894043,4.479438543319702,False
20,3,0.015,3.731412410736084,7.564030806223552,3.8326183954874673,False
22,2,0.01,2.3322993516921997,7.324003458023071,4.991704106330872,False
17,2,0.01,2.575573205947876,7.425705909729004,4.850132703781128,False
15,2,0.01,3.5164012908935547,7.556562900543213,4.040161609649658,False
19,2,0.01,4.390328645706177,7.831178903579712,3.440850257873535,False
12,2,0.01,4.238953113555908,7.384146690368652,3.145193576812744,False
3,1,0.005,2.3382768630981445,6.933852672576904,4.59557580947876,False
25,1,0.005,3.986456871032715,7.8076558113098145,3.8211989402770996,False
21,1,0.005,3.3508033752441406,6.735831260681152,3.3850278854370117,False
26,1,0.005,3.928908586502075,6.995298385620117,3.066389799118042,False
