cluster_id,hits,hit_rate,birth,death,persistence,robust
2,193,0.965,2.696075073553591,4.823368268110314,2.127293194556723,True
0,170,0.85,2.215707214652391,4.507430043887338,2.291722829234946,True
3,168,0.84,2.1777706247861266,4.259068420285084,2.0812977954989575,True
7,165,0.825,2.5470160297725513,4.581996005514394,2.0349799757418423,True
16,71,0.355,1.5166858434677124,4.305807597200635,2.789121753732923,False
17,66,0.33,1.8087629079818726,4.149686336517334,2.3409234285354614,False
9,57,0.285,2.9497320619347978,4.937310963460844,1.987578901526046,False
4,39,0.195,2.039426497924022,4.279801393166567,2.240374895242544,False
11,37,0.185,2.348888500170274,4.37621131810275,2.027322817932476,False
1,34,0.17,2.2745484113693237,4.697096559736464,2.42254814836714,False
6,24,0.12,1.8087629079818726,4.319065789381663,2.5103028813997903,False
8,24,0.12,3.184226085742315,5.169892231623332,1.985666145881017,False
5,23,0.115,2.037374973297119,4.066235542297363,2.028860569000244,False
10,19,0.095,2.8726906529788314,4.736562646668533,1.8638719936897015,False
15,13,0.065,2.509494234533871,4.368999256807215,1.8595050222733442,False
13,7,0.035,2.7561541318893434,4.587797594070435,1.8316434621810913,False
21,5,0.025,2.5456210136413575,4.747129344940186,2.201508331298828,False
23,3,0.015,2.037374973297119,4.436912377675374,2.3995374043782554,False
12,3,0.015,2.7932697931925454,4.929479757944743,2.1362099647521973,False
18,3,0.015,2.204130172729492,4.066235542297363,1.862105369567871,False
14,3,0.015,3.1884095668792725,4.873862934112549,1.6854533672332763,False
19,1,0.005,1.8087629079818726,4.437335968017578,2.6285730600357056,False
22,1,0.005,2.380688428878784,4.230714797973633,1.8500263690948486,False
20,1,0.005,3.331911563873291,5.0688629150390625,1.7369513511657715,False
24,1,0.005,3.045689105987549,4.6825408935546875,1.6368517875671387,False
25,1,0.005,2.9157657623291016,4.501397132873535,1.5856313705444336,False
26,1,0.005,3.555161237716675,5.130716323852539,1.5755550861358643,False
