cluster_id,hits,hit_rate,birth,death,persistence,robust
1,199,0.995,7.616144661469893,12.954720334573226,5.338575673103333,True
6,163,0.815,6.502578438394438,12.449652603583607,5.94707416518917,True
0,122,0.61,5.44806944080657,12.984459912118735,7.536390471312166,True
3,65,0.325,8.540733413876227,13.270773941615843,4.7300405277396145,True
2,54,0.27,9.208794866289411,14.427752716200692,5.218957849911281,True
8,21,0.105,6.710715566362653,13.21506759098598,6.5043520246233255,True
7,17,0.085,6.102651596069336,13.064939106211943,6.962287510142607,True
5,11,0.055,9.335107076735724,13.618809836251396,4.283702759515672,True
4,7,0.035,7.8216986656188965,13.358941316604614,5.537242650985718,False
9,7,0.035,9.935950824192592,14.388963426862444,4.453012602669852,False
