subject,roi,n_nodes,shift_added,maxdist_thresh,H1_n,H1_max_persistence,H1_median_persistence,H2_n,H2_max_persistence,H2_median_persistence,out_dir
4,LO2,157,5.445353926228119,,741,2.067410945892334,0.3346233367919922,936,0.4628472328186035,0.06882238388061523,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj04\ROI-LO2
4,MT,157,4.91901558737619,,1425,2.647252678871155,0.38164329528808594,841,0.5321321487426758,0.062328338623046875,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj04\ROI-MT
4,PH,157,5.198500634239746,,1143,2.485729932785034,0.3516359329223633,2002,0.5918865203857422,0.08923029899597168,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj04\ROI-PH
4,PIT,157,4.480922315338386,,495,1.932842493057251,0.265500545501709,646,0.6362020969390869,0.08151435852050781,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj04\ROI-PIT
4,STSva,157,3.560043879853321,,697,1.5089455842971802,0.21975111961364746,768,0.3785121440887451,0.052602291107177734,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj04\ROI-STSva
4,V1,157,3.5076529803441296,,1142,1.6006308794021606,0.2782630920410156,2000,0.3925139904022217,0.05131828784942627,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj04\ROI-V1
4,V2,157,2.8187456140981446,,782,1.2710789442062378,0.2005910873413086,993,0.4802370071411133,0.05808258056640625,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj04\ROI-V2
4,V3,157,3.3265926847921143,,805,2.0707607865333557,0.21765351295471191,1419,0.3403196334838867,0.06026196479797363,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj04\ROI-V3
4,V4,157,4.006130398319794,,914,1.9460530281066895,0.3202657699584961,1547,0.48012709617614746,0.04956793785095215,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj04\ROI-V4
5,LO2,157,4.613752842949463,,1236,2.562508225440979,0.42971646785736084,1952,0.5408468246459961,0.08170151710510254,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj05\ROI-LO2
5,MT,157,5.303359569119049,,1035,3.597695767879486,0.3980879783630371,890,0.6714887619018555,0.06836509704589844,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj05\ROI-MT
5,PH,157,4.383909941719605,,1828,2.9658223688602448,0.46072399616241455,3383,0.5132126808166504,0.06895637512207031,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj05\ROI-PH
5,PIT,157,5.160455704735352,,1391,2.5698602199554443,0.4766829013824463,2382,0.5640926361083984,0.07292890548706055,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj05\ROI-PIT
5,STSva,157,3.5349274287687074,,709,1.732710599899292,0.2833867073059082,1336,0.39942336082458496,0.07059478759765625,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj05\ROI-STSva
5,V1,157,4.0824851999746095,,1132,2.4574257731437683,0.37888574600219727,2538,0.5084335803985596,0.07322347164154053,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj05\ROI-V1
5,V2,157,2.651828208075596,,927,1.2109718918800354,0.19796466827392578,1788,0.35494375228881836,0.05414474010467529,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj05\ROI-V2
5,V3,157,2.9442100534902345,,946,1.649695098400116,0.21460866928100586,1771,0.4726104736328125,0.057047128677368164,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj05\ROI-V3
5,V4,157,2.8385165343747865,,1452,1.6638934016227722,0.29878562688827515,2964,0.39544177055358887,0.05633544921875,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser\subj05\ROI-V4
