subject,roi,rank_within_roi,birth,death,persistence,percentile_cut_used,percentile_cut,top_k_cap
1,LO2,1,0.8019580841064453,2.3405256271362305,1.5385675430297852,0.9396994352340697,95,5
1,LO2,2,0.7353365421295166,2.1713905334472656,1.436053991317749,0.9396994352340697,95,5
1,LO2,3,0.7246894836425781,2.140700101852417,1.4160106182098389,0.9396994352340697,95,5
1,LO2,4,0.7438435554504395,2.094484567642212,1.3506410121917725,0.9396994352340697,95,5
1,LO2,5,0.9125993251800537,2.2555079460144043,1.3429086208343506,0.9396994352340697,95,5
1,MT,1,1.4980734586715698,3.90324068069458,2.4051672220230103,1.3523983478546144,95,5
1,MT,2,1.6538742780685425,3.90324068069458,2.2493664026260376,1.3523983478546144,95,5
1,MT,3,1.7452186346054077,3.8863487243652344,2.1411300897598267,1.3523983478546144,95,5
1,MT,4,1.9090442657470703,3.90324068069458,1.9941964149475098,1.3523983478546144,95,5
1,MT,5,1.9922271966934204,3.965117931365967,1.9728907346725464,1.3523983478546144,95,5
1,PH,1,0.2616620659828186,2.64145565032959,2.3797935843467712,1.304854154586792,95,5
1,PH,2,0.46313026547431946,2.780954360961914,2.3178240954875946,1.304854154586792,95,5
1,PH,3,0.3773566782474518,2.678900957107544,2.301544278860092,1.304854154586792,95,5
1,PH,4,0.44099727272987366,2.709306240081787,2.2683089673519135,1.304854154586792,95,5
1,PH,5,0.5452907681465149,2.7882258892059326,2.2429351210594177,1.304854154586792,95,5
1,PIT,1,0.5575627684593201,3.1037471294403076,2.5461843609809875,1.3796646237373351,95,5
1,PIT,2,0.8929061889648438,3.1558115482330322,2.2629053592681885,1.3796646237373351,95,5
1,PIT,3,0.9074485301971436,3.1037471294403076,2.196298599243164,1.3796646237373351,95,5
1,PIT,4,0.9891684055328369,3.1236419677734375,2.1344735622406006,1.3796646237373351,95,5
1,PIT,5,1.0602965354919434,3.1792831420898438,2.1189866065979004,1.3796646237373351,95,5
1,STSva,1,0.37365424633026123,1.155068278312683,0.7814140319824219,0.39117145538330084,95,5
1,STSva,2,0.2893955707550049,0.9776091575622559,0.688213586807251,0.39117145538330084,95,5
1,STSva,3,0.2454698085784912,0.8904721140861511,0.6450023055076599,0.39117145538330084,95,5
1,STSva,4,0.3179006576538086,0.958176851272583,0.6402761936187744,0.39117145538330084,95,5
1,STSva,5,0.3861188292503357,0.958176851272583,0.5720580220222473,0.39117145538330084,95,5
1,V1,1,0.36542952060699463,1.341032862663269,0.9756033420562744,0.588853085041046,95,5
1,V1,2,0.5092419981956482,1.440643072128296,0.9314010739326477,0.588853085041046,95,5
1,V1,3,0.4059814214706421,1.307900309562683,0.901918888092041,0.588853085041046,95,5
1,V1,4,0.6245929002761841,1.5051112174987793,0.8805183172225952,0.588853085041046,95,5
1,V1,5,0.5745164155960083,1.4402574300765991,0.8657410144805908,0.588853085041046,95,5
1,V2,1,0.48095113039016724,1.4560811519622803,0.975130021572113,0.5289272308349608,95,5
1,V2,2,0.5120981931686401,1.3727021217346191,0.860603928565979,0.5289272308349608,95,5
1,V2,3,0.7332134246826172,1.560057282447815,0.8268438577651978,0.5289272308349608,95,5
1,V2,4,0.6684741973876953,1.4809656143188477,0.8124914169311523,0.5289272308349608,95,5
1,V2,5,0.7506260871887207,1.5457913875579834,0.7951653003692627,0.5289272308349608,95,5
1,V3,1,0.6336999535560608,1.591176152229309,0.9574761986732483,0.6131532549858092,95,5
1,V3,2,0.5441750884056091,1.4787441492080688,0.9345690608024597,0.6131532549858092,95,5
1,V3,3,0.6184946298599243,1.4914487600326538,0.8729541301727295,0.6131532549858092,95,5
1,V3,4,0.6940310001373291,1.5656169652938843,0.8715859651565552,0.6131532549858092,95,5
1,V3,5,0.611394464969635,1.4787441492080688,0.8673496842384338,0.6131532549858092,95,5
1,V4,1,0.36154088377952576,2.048593282699585,1.6870523989200592,1.0171780586242676,95,5
1,V4,2,0.7954132556915283,2.2747507095336914,1.479337453842163,1.0171780586242676,95,5
1,V4,3,0.7272751331329346,2.2056264877319336,1.478351354598999,1.0171780586242676,95,5
1,V4,4,0.694231390953064,2.1670238971710205,1.4727925062179565,1.0171780586242676,95,5
1,V4,5,0.668868899345398,2.0805273056030273,1.4116584062576294,1.0171780586242676,95,5
2,LO2,1,0.9431524276733398,2.8297553062438965,1.8866028785705566,0.8981513738632201,95,5
2,LO2,2,0.9330580830574036,2.5117080211639404,1.5786499381065369,0.8981513738632201,95,5
2,LO2,3,1.2120366096496582,2.7831194400787354,1.5710828304290771,0.8981513738632201,95,5
2,LO2,4,1.479631781578064,2.783365488052368,1.3037337064743042,0.8981513738632201,95,5
2,LO2,5,1.2588549852371216,2.4604692459106445,1.201614260673523,0.8981513738632201,95,5
2,MT,1,0.6257492899894714,2.282611846923828,1.6568625569343567,0.934225857257843,95,5
2,MT,2,0.7176325917243958,2.3299405574798584,1.6123079657554626,0.934225857257843,95,5
2,MT,3,0.5895223617553711,2.139425754547119,1.549903392791748,0.934225857257843,95,5
2,MT,4,0.8438007235527039,2.3299405574798584,1.4861398339271545,0.934225857257843,95,5
2,MT,5,0.8768408894538879,2.3272838592529297,1.4504429697990417,0.934225857257843,95,5
2,PH,1,1.9245998859405518,4.2863969802856445,2.3617970943450928,1.3061170101165767,95,5
2,PH,2,2.043489456176758,4.276425838470459,2.232936382293701,1.3061170101165767,95,5
2,PH,3,2.4504575729370117,4.519651412963867,2.0691938400268555,1.3061170101165767,95,5
2,PH,4,2.336789608001709,4.315563678741455,1.978774070739746,1.3061170101165767,95,5
