,V1,V2,V3,V4,PIT,PH,STSva,MT,LO2
V1,0.0,,,,,,,,
V2,,0.0,,,,,,,
V3,,,0.0,0.37043556932144006,0.5716868896975612,0.7853410223395232,0.9353218064091084,0.6265617439102629,0.5671280955615159
V4,,,0.37043556932144006,0.0,0.36353212884076913,0.6895622860077582,0.9773613527289583,0.8346715759650468,0.41064601804363743
PIT,,,0.5716868896975612,0.36353212884076913,0.0,0.559146542524559,0.9711739524290338,0.8697645508660694,0.2669980075005681
PH,,,0.7853410223395232,0.6895622860077582,0.559146542524559,0.0,0.9312519502165146,0.8657271781542457,0.5498976235206379
STSva,,,0.9353218064091084,0.9773613527289583,0.9711739524290338,0.9312519502165146,0.0,0.9071766519689609,0.9722832017139285
MT,,,0.6265617439102629,0.8346715759650467,0.8697645508660694,0.8657271781542457,0.9071766519689609,0.0,0.8276113142644641
LO2,,,0.5671280955615159,0.4106460180436373,0.2669980075005681,0.5498976235206379,0.9722832017139285,0.8276113142644641,0.0
