cluster_id,hits,hit_rate,birth,death,persistence,robust
1,200,1.0,2.6403716908799515,4.876288634520751,2.2359169436407997,True
2,174,0.87,2.2991952090290004,4.652027674893427,2.3528324658644264,True
3,144,0.72,2.942314613433111,5.273254502387274,2.3309398889541626,True
0,101,0.505,2.140509605407715,5.230592774872733,3.090083169465018,True
6,94,0.47,1.6714425086975098,4.932569630602573,3.261127121905063,True
4,90,0.45,2.0545464096069335,4.375218051910401,2.320671642303467,True
10,23,0.115,3.275251370209914,5.358141862429106,2.0828904922191915,True
5,17,0.085,2.0673976441224418,4.802847842375438,2.735450198252996,True
8,9,0.045,2.662264903386434,5.243755393558079,2.5814904901716442,False
9,5,0.025,2.6412477493286133,4.644566345214844,2.0033185958862303,False
7,5,0.025,2.9819861888885497,4.98394365310669,2.0019574642181395,False
11,2,0.01,2.942405939102173,5.545816421508789,2.603410482406616,False
