subject,roi,cluster_id,hit_rate,n_points,n_bootstraps,birth_median,death_median,persistence_median,eps_match,persist_min,maxdist_used,shift_added,subsample_size,subsample_frac
1,V1,1,0.965,641,193,0.5871347188949585,1.395660400390625,0.81419837474823,0.05930577101269913,0.2471073792195797,4.942147584391594,1.816203938556671,126,0.8
1,V1,2,0.805,302,161,0.6245939135551453,1.4776008129119873,0.8389406204223633,0.05930577101269913,0.2471073792195797,4.942147584391594,1.816203938556671,126,0.8
1,V2,1,0.845,283,169,0.6732333302497864,1.4184259176254272,0.7364674210548401,0.045452412684356694,0.1893850528514862,3.7877010570297243,1.7752902971038818,126,0.8
1,V3,1,0.98,616,196,0.8144993185997009,1.6418120861053467,0.8275908827781677,0.047181234394108776,0.1965884766421199,3.931769532842398,2.0286469028720857,126,0.8
1,PIT,4,0.885,395,177,1.2673346996307373,3.1671717166900635,1.879866123199463,0.08544559391299439,0.35602330797080994,7.120466159416199,3.9476306901702882,126,0.8
1,PH,6,0.84,324,168,0.8945249319076538,2.8562238216400146,1.980985164642334,0.07935903375307274,0.3306626406378031,6.613252812756062,3.618476027382374,126,0.8
1,PH,5,0.835,262,167,0.662336528301239,2.8139748573303223,2.1174946427345276,0.07935903375307274,0.3306626406378031,6.613252812756062,3.618476027382374,126,0.8
1,STSva,5,0.905,439,181,0.6023944616317749,1.1289352178573608,0.5334076285362244,0.04879538907567215,0.20331412114863398,4.066282422972679,1.5175212041864394,126,0.8
1,STSva,7,0.81,301,162,0.5292345285415649,1.0330281257629395,0.491909921169281,0.04879538907567215,0.20331412114863398,4.066282422972679,1.5175212041864394,126,0.8
1,MT,1,0.92,635,184,1.9922282695770264,3.9169538021087646,1.9539834260940552,0.11276438607732012,0.46985160865550046,9.39703217311001,4.868563400341034,126,0.8
1,LO2,4,0.865,316,173,0.8830373883247375,2.157979965209961,1.2630323767662048,0.0695853207902069,0.2899388366258621,5.798776732517243,2.7860246167907716,126,0.8
2,V2,2,0.895,415,179,0.6354694366455078,0.9743690490722656,0.3365347981452942,0.02745200373688889,0.1143833489037037,2.287666978074074,1.3105738924274444,126,0.8
2,V3,1,0.96,667,192,0.6304028034210205,1.0253143310546875,0.394911527633667,0.03675686486521912,0.15315360360507968,3.063072072101593,1.2969132529029845,126,0.8
2,PIT,1,0.825,451,165,1.7950587272644043,2.980339765548706,1.1906116008758545,0.08855258973399353,0.3689691238916397,7.379382477832794,3.5105113850364686,126,0.8
2,PH,2,0.905,659,181,2.5246644020080566,4.426232814788818,1.9450428485870361,0.11517892440119935,0.4799121850049973,9.598243700099946,5.200138943029404,126,0.8
2,STSva,3,0.965,515,193,1.2246686220169067,1.9389318227767944,0.7155263423919678,0.054294332046901705,0.22622638352875712,4.524527670575142,2.4465166942605974,126,0.8
2,MT,2,0.935,572,187,1.1479771137237549,2.370013952255249,1.2294721603393555,0.07675523822466088,0.31981349260275366,6.396269852055073,2.9349119381437303,126,0.8
2,MT,0,0.81,295,162,0.843801736831665,2.329941511154175,1.4861397743225098,0.07675523822466088,0.31981349260275366,6.396269852055073,2.9349119381437303,126,0.8
2,LO2,4,0.82,343,164,1.9479658603668213,3.0212790966033936,1.099263072013855,0.08372125162640763,0.34883854844336515,6.976770968867302,3.573417590690613,126,0.8
3,V1,0,0.895,341,179,0.8265714049339294,1.9042500257492065,1.0562682747840881,0.05838479502955628,0.24326997928981783,4.865399585796356,2.368691609931946,126,0.8
3,V1,1,0.885,307,177,0.9828194975852966,1.9602420330047607,0.9700941443443298,0.05838479502955628,0.24326997928981783,4.865399585796356,2.368691609931946,126,0.8
3,V1,2,0.85,352,170,0.9314317107200623,1.8556843996047974,0.9275365471839905,0.05838479502955628,0.24326997928981783,4.865399585796356,2.368691609931946,126,0.8
3,V2,4,0.885,357,177,0.9098846912384033,1.629546046257019,0.708016037940979,0.04959545948067856,0.2066477478361607,4.132954956723213,2.089670317007065,126,0.8
3,V2,5,0.825,280,165,1.0262726545333862,1.7021933794021606,0.6810315847396851,0.04959545948067856,0.2066477478361607,4.132954956723213,2.089670317007065,126,0.8
3,V3,2,0.965,738,193,1.2224591970443726,2.421015501022339,1.1985563039779663,0.08683908294597817,0.36182951227490906,7.2365902454981805,2.9825727210769655,126,0.8
3,V4,0,0.93,521,186,0.7457041144371033,2.377058744430542,1.655099093914032,0.09569820286790086,0.3987425119495869,7.9748502389917375,2.8999066816101076,126,0.8
3,V4,1,0.815,475,163,0.616497814655304,2.294572114944458,1.6946179270744324,0.09569820286790086,0.3987425119495869,7.9748502389917375,2.8999066816101076,126,0.8
3,PIT,3,0.985,959,197,2.3755249977111816,4.475094318389893,2.1050684452056885,0.14585984026352122,0.6077493344313384,12.154986688626767,5.126083897186279,126,0.8
3,PH,3,0.89,333,178,1.8558199405670166,3.4664509296417236,1.6095622777938843,0.08964567859927368,0.373523660830307,7.47047321660614,4.072567125541926,126,0.8
3,PH,0,0.805,306,161,1.598370909690857,3.4587652683258057,1.8145647048950195,0.08964567859927368,0.373523660830307,7.47047321660614,4.072567125541926,126,0.8
3,STSva,1,0.995,643,199,1.1005570888519287,2.2108330726623535,1.1159957647323608,0.07616901292363358,0.3173708871818066,6.347417743636131,2.7713495062122346,126,0.8
3,STSva,2,0.915,442,183,0.9796455502510071,2.111891269683838,1.150265634059906,0.07616901292363358,0.3173708871818066,6.347417743636131,2.7713495062122346,126,0.8
3,MT,3,0.86,388,172,1.3196078538894653,2.3465116024017334,1.0226266384124756,0.07418150730887604,0.3090896137869835,6.18179227573967,2.7769170717725755,126,0.8
