cluster_id,hits,hit_rate,birth,death,persistence,robust
1,176,0.88,3.7080176856098435,9.188430793171,5.480413107561156,True
2,129,0.645,4.395790694963814,9.253563984785929,4.8577732898221155,True
0,123,0.615,2.4281069046229273,8.874453435489787,6.44634653086686,True
6,95,0.475,1.8603501319885254,8.763816351639598,6.903466219651071,True
7,80,0.4,1.0564723014831543,8.616423666477203,7.559951364994049,True
3,66,0.33,3.6775672316551207,8.73860000371933,5.061032772064209,True
4,49,0.245,5.074487917262353,9.421708516548016,4.347220599285664,True
5,16,0.08,5.452134526294211,9.561380158299984,4.109245632005774,True
8,7,0.035,6.020400941371918,9.744738578796387,3.724337637424469,False
9,1,0.005,6.20460319519043,10.188748359680176,3.984145164489746,False
