cluster_id,hits,hit_rate,birth,death,persistence,robust
0,193,0.965,2.350509206317031,6.521366740817617,4.170857534500585,True
1,154,0.77,2.769852142821076,6.845045583222502,4.075193440401426,True
2,43,0.215,3.318596915593223,7.23250314924452,3.9139062336512973,True
3,37,0.185,2.2374535610801294,6.928244628404316,4.690791067324187,True
6,14,0.07,2.7667140131411343,6.422874015310536,3.656160002169402,True
5,8,0.04,3.693349175983005,7.417957994672987,3.724608818689982,False
4,5,0.025,2.655659238497416,7.207528114318848,4.551868875821431,False
