subject,roi,cluster_id,hits,hit_rate,birth,death,persistence,robust,B,subsample_frac,persist_floor_frac,top_L,cluster_tol_frac,robust_hitrate_min,strict_tag,maxdist_full,shift_added
1,V1,1,183,0.915,4.705137945487923,7.4136225654126315,2.7084846199247083,True,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,4,153,0.765,4.306258964538574,7.549441421733183,3.243182457194609,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,0,138,0.69,5.1082642643437906,7.663591369728133,2.5553271053843414,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,2,135,0.675,4.76597117357713,7.6207490757824905,2.85477790220536,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,5,129,0.645,4.2235308382054955,7.324354378324983,3.100823540119488,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,3,92,0.46,5.386950508407924,7.820910142815632,2.433959634407707,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,12,70,0.35,4.0093607902526855,7.323349673407418,3.313988883154733,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,13,34,0.17,4.344166931353118,7.870246498208297,3.5260795668551794,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,8,33,0.165,5.047474665519519,7.440543040251121,2.3930683747316017,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,9,26,0.13,4.699446274684026,7.851401989276592,3.151955714592567,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,6,25,0.125,5.516891918182373,8.042926387786865,2.5260344696044923,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,14,6,0.03,5.355488538742065,7.580739676952362,2.2252511382102966,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,11,5,0.025,4.916196537017822,7.227030658721924,2.3108341217041017,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,16,5,0.025,5.613152137169471,7.793923084552471,2.1807709473830004,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,7,4,0.02,4.301447868347168,7.43303644657135,3.131588578224182,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,17,2,0.01,4.942131042480469,7.885438680648804,2.943307638168335,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,10,2,0.01,5.486387252807617,8.096321105957031,2.609933853149414,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V1,15,1,0.005,5.7495808601379395,8.096321105957031,2.346740245819092,False,200,0.8,0.05,10,0.012,0.8,STRICT2,15.547662199543549,8.910184175776077
1,V2,0,191,0.955,3.763266179749374,6.466490826316256,2.7032246465668814,True,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,1,183,0.915,4.011986616359038,6.465046365401324,2.4530597490422865,True,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,6,122,0.61,3.6893200358348106,6.243834417257736,2.5545143814229254,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,3,100,0.5,4.428044110715033,6.63686494484633,2.208820834131298,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,2,88,0.44,4.275025633711311,6.470807513998981,2.1957818802876687,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,5,81,0.405,3.3083462715148926,6.385575488761619,3.077229217246727,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,8,77,0.385,2.449465274810791,6.193766575355034,3.7443013005442434,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,7,77,0.385,4.598462872690969,7.09682035446167,2.498357481770701,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,10,33,0.165,3.866596221923828,6.224132537841797,2.3575363159179688,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,11,28,0.14,3.999299372945513,6.643208452633449,2.643909079687936,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,4,22,0.11,4.0458028030395505,6.2396078872680665,2.1938050842285155,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,12,17,0.085,4.723503617679372,6.8099653019624595,2.0864616842830883,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,13,13,0.065,4.552803916931152,6.507365016937256,1.9545611000061036,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,9,12,0.06,2.449465274810791,6.41212793191274,3.962662657101949,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,16,8,0.04,3.6989679038524628,6.636946856975555,2.9379789531230927,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,14,7,0.035,4.280715094672309,6.2640012635125055,1.9832861688401964,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,19,4,0.02,3.749422073364258,5.925145626068115,2.1757235527038574,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,17,2,0.01,4.731914758682251,6.596789360046387,1.8648746013641357,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,18,2,0.01,4.91858704884847,6.7628984451293945,1.8443113962809246,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V2,15,1,0.005,4.915134429931641,7.067573070526123,2.1524386405944824,False,200,0.8,0.05,10,0.012,0.8,STRICT2,13.230951489018036,7.747732878731323
1,V3,3,178,0.89,5.653941555892494,9.110192104574823,3.456250548682328,True,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,2,174,0.87,5.374650519956309,8.858081187785972,3.483430667829662,True,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,0,149,0.745,4.824263247141397,8.913494768870404,4.089231521729006,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,12,114,0.57,4.092637062072754,8.348731417404977,4.256094355332224,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,4,110,0.55,5.089390494606712,8.498679974696019,3.4092894800893077,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,15,103,0.515,5.751597031107488,9.367602771183229,3.616005740075741,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,14,78,0.39,4.487198829650879,8.967333854773106,4.480135025122227,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,5,69,0.345,6.004122909158468,9.092684082686901,3.088561173528433,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,20,62,0.31,3.835747003555298,8.50885009765625,4.673103094100952,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,17,59,0.295,3.166142225265503,8.466604232788086,5.300462007522583,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,10,40,0.2,6.226440811157227,9.34106008529663,3.1146192741394043,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,7,31,0.155,6.583847387213456,9.284902843676115,2.7010554564626594,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,1,30,0.15,4.7131452560424805,8.376927884419759,3.6637826283772785,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,18,28,0.14,4.7131452560424805,8.086329528263636,3.3731842722211565,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,9,27,0.135,5.617780276707241,8.77620257650103,3.1584222997937883,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,6,23,0.115,5.124684810638428,9.001472348752229,3.8767875381138013,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
1,V3,19,22,0.11,3.166142225265503,8.689349954778498,5.523207729512995,False,200,0.8,0.05,10,0.012,0.8,STRICT2,17.28915023903711,10.593066335724426
