subject,roi,k,edges,density,avg_degree,n_components,largest_component
4,PH,2,310,0.025314388371713212,3.949044585987261,1,157
4,PH,5,750,0.06124448799608035,9.554140127388536,1,157
4,PH,10,1432,0.11693614241384942,18.24203821656051,1,157
4,PH,20,2592,0.2116609505144537,33.01910828025478,1,157
4,PH,40,4450,0.3633839621100768,56.68789808917197,1,157
4,PIT,2,309,0.025232729054385106,3.9363057324840764,1,157
4,PIT,5,735,0.060019598236158746,9.363057324840764,1,157
4,PIT,10,1391,0.11358811040339703,17.719745222929937,1,157
4,PIT,20,2540,0.20741466601339212,32.35668789808917,1,157
4,PIT,40,4467,0.3647721705046546,56.904458598726116,1,157
4,STSva,2,305,0.024906091785072675,3.8853503184713376,1,157
4,STSva,5,743,0.0606728727747836,9.464968152866241,1,157
4,STSva,10,1401,0.1144047035766781,17.84713375796178,1,157
4,STSva,20,2528,0.20643475420545485,32.203821656050955,1,157
4,STSva,40,4435,0.36215907235015515,56.496815286624205,1,157
4,V1,2,306,0.024987751102400785,3.8980891719745223,1,157
4,V1,5,740,0.06042789482279928,9.426751592356688,1,157
4,V1,10,1419,0.11587457128858403,18.076433121019107,1,157
4,V1,20,2590,0.21149763187979748,32.99363057324841,1,157
4,V1,40,4468,0.36485382982198267,56.9171974522293,1,157
4,V2,2,305,0.024906091785072675,3.8853503184713376,1,157
4,V2,5,740,0.06042789482279928,9.426751592356688,1,157
4,V2,10,1377,0.11244487996080353,17.54140127388535,1,157
4,V2,20,2514,0.20529152376286133,32.02547770700637,1,157
4,V2,40,4433,0.3619957537154989,56.47133757961783,1,157
4,V3,2,307,0.02506941041972889,3.910828025477707,1,157
4,V3,5,741,0.06050955414012739,9.439490445859873,1,157
4,V3,10,1385,0.11309815449942838,17.643312101910826,1,157
4,V3,20,2502,0.20431161195492406,31.872611464968152,1,157
4,V3,40,4400,0.3593009962436714,56.05095541401274,1,157
4,V4,2,308,0.025151069737056997,3.9235668789808917,1,157
4,V4,5,745,0.06083619140943982,9.490445859872612,1,157
4,V4,10,1417,0.11571125265392782,18.05095541401274,1,157
4,V4,20,2559,0.20896619304262617,32.59872611464968,1,157
4,V4,40,4449,0.36330230279274867,56.67515923566879,1,157
5,LO2,2,308,0.025151069737056997,3.9235668789808917,1,157
5,LO2,5,753,0.061489465948064675,9.59235668789809,1,157
5,LO2,10,1416,0.11562959333659971,18.038216560509554,1,157
5,LO2,20,2534,0.20692471010942348,32.28025477707006,1,157
5,LO2,40,4394,0.35881104033970274,55.97452229299363,1,157
5,MT,2,310,0.025314388371713212,3.949044585987261,1,157
5,MT,5,741,0.06050955414012739,9.439490445859873,1,157
5,MT,10,1396,0.11399640699003756,17.78343949044586,1,157
5,MT,20,2551,0.2083129185040013,32.496815286624205,1,157
5,MT,40,4438,0.36240405030213946,56.53503184713376,1,157
5,PH,2,310,0.025314388371713212,3.949044585987261,1,157
5,PH,5,751,0.06132614731340846,9.566878980891719,1,157
5,PH,10,1439,0.11750775763514618,18.331210191082803,1,157
5,PH,20,2626,0.21443736730360935,33.452229299363054,1,157
5,PH,40,4447,0.3631389841580924,56.64968152866242,1,157
5,PIT,2,309,0.025232729054385106,3.9363057324840764,1,157
5,PIT,5,744,0.06075453209211171,9.477707006369426,1,157
5,PIT,10,1403,0.11456802221133432,17.872611464968152,1,157
5,PIT,20,2601,0.21239588437040666,33.13375796178344,1,157
5,PIT,40,4433,0.3619957537154989,56.47133757961783,1,157
5,STSva,2,307,0.02506941041972889,3.910828025477707,1,157
5,STSva,5,749,0.061162828678752244,9.54140127388535,1,157
5,STSva,10,1433,0.11701780173117753,18.254777070063696,1,157
5,STSva,20,2606,0.2128041809570472,33.197452229299365,1,157
5,STSva,40,4521,0.36918177364037236,57.59235668789809,1,157
5,V1,2,310,0.025314388371713212,3.949044585987261,1,157
5,V1,5,754,0.06157112526539278,9.605095541401274,1,157
5,V1,10,1435,0.11718112036583374,18.280254777070063,1,157
5,V1,20,2629,0.21468234525559365,33.49044585987261,1,157
5,V1,40,4495,0.36705863138984157,57.261146496815286,1,157
5,V2,2,306,0.024987751102400785,3.8980891719745223,1,157
5,V2,5,735,0.060019598236158746,9.363057324840764,1,157
5,V2,10,1387,0.1132614731340846,17.668789808917197,1,157
5,V2,20,2511,0.20504654581087703,31.987261146496817,1,157
5,V2,40,4406,0.35979095214764006,56.12738853503185,1,157
5,V3,2,307,0.02506941041972889,3.910828025477707,1,157
5,V3,5,733,0.059856279601502534,9.337579617834395,1,157
5,V3,10,1383,0.11293483586477217,17.61783439490446,1,157
5,V3,20,2522,0.2059447983014862,32.12738853503185,1,157
5,V3,40,4407,0.35987261146496813,56.140127388535035,1,157
5,V4,2,304,0.02482443246774457,3.872611464968153,1,157
5,V4,5,743,0.0606728727747836,9.464968152866241,1,157
5,V4,10,1408,0.11497631879797485,17.936305732484076,1,157
5,V4,20,2562,0.20921117099461048,32.63694267515923,1,157
5,V4,40,4401,0.3593826555609995,56.06369426751592,1,157
7,LO2,2,309,0.025232729054385106,3.9363057324840764,1,157
7,LO2,5,750,0.06124448799608035,9.554140127388536,1,157
7,LO2,10,1434,0.11709946104850563,18.26751592356688,1,157
7,LO2,20,2583,0.21092601665850075,32.904458598726116,1,157
7,LO2,40,4398,0.3591376776090152,56.02547770700637,1,157
7,MT,2,309,0.025232729054385106,3.9363057324840764,1,157
7,MT,5,753,0.061489465948064675,9.59235668789809,1,157
7,MT,10,1439,0.11750775763514618,18.331210191082803,1,157
7,MT,20,2641,0.21566225706353095,33.64331210191083,1,157
7,MT,40,4487,0.3664053568512167,57.15923566878981,1,157
7,PH,2,304,0.02482443246774457,3.872611464968153,1,157
7,PH,5,728,0.059447983014861996,9.273885350318471,1,157
7,PH,10,1394,0.11383308835538135,17.75796178343949,1,157
7,PH,20,2528,0.20643475420545485,32.203821656050955,1,157
7,PH,40,4363,0.35627960150253146,55.5796178343949,1,157
7,PIT,2,310,0.025314388371713212,3.949044585987261,1,157
7,PIT,5,754,0.06157112526539278,9.605095541401274,1,157
7,PIT,10,1446,0.11807937285644292,18.420382165605094,1,157
7,PIT,20,2623,0.21419238935162502,33.4140127388535,1,157
7,PIT,40,4487,0.3664053568512167,57.15923566878981,1,157
7,STSva,2,305,0.024906091785072675,3.8853503184713376,1,157
7,STSva,5,739,0.06034623550547118,9.414012738853502,1,157
7,STSva,10,1378,0.11252653927813164,17.554140127388536,1,157
7,STSva,20,2518,0.20561816103217376,32.07643312101911,1,157
7,STSva,40,4449,0.36330230279274867,56.67515923566879,1,157
7,V1,2,309,0.025232729054385106,3.9363057324840764,1,157
7,V1,5,753,0.061489465948064675,9.59235668789809,1,157
7,V1,10,1425,0.11636452719255266,18.15286624203822,1,157
7,V1,20,2572,0.21002776416789157,32.76433121019108,1,157
7,V1,40,4476,0.36550710436060757,57.01910828025478,1,157
7,V2,2,306,0.024987751102400785,3.8980891719745223,1,157
7,V2,5,742,0.060591213457455495,9.452229299363058,1,157
7,V2,10,1419,0.11587457128858403,18.076433121019107,1,157
7,V2,20,2562,0.20921117099461048,32.63694267515923,1,157
7,V2,40,4430,0.3617507757635146,56.43312101910828,1,157
7,V3,2,300,0.02449779519843214,3.821656050955414,1,157
7,V3,5,716,0.05846807120692471,9.121019108280255,1,157
7,V3,10,1374,0.1121999020088192,17.503184713375795,1,157
7,V3,20,2528,0.20643475420545485,32.203821656050955,1,157
7,V3,40,4403,0.3595459741956557,56.089171974522294,1,157
7,V4,2,306,0.024987751102400785,3.8980891719745223,1,157
7,V4,5,750,0.06124448799608035,9.554140127388536,1,157
7,V4,10,1421,0.11603788992324024,18.101910828025478,1,157
7,V4,20,2564,0.2093744896292667,32.66242038216561,1,157
7,V4,40,4430,0.3617507757635146,56.43312101910828,1,157
