cluster_id,hits,hit_rate,birth,death,persistence,robust
4,187,0.935,10.717572388232954,17.241862978711225,6.5242905904782695,True
6,132,0.66,9.524898769980982,17.023058288975765,7.498159518994783,True
2,127,0.635,5.4747880989650515,17.35670114013384,11.881913041168788,True
1,113,0.565,4.227283904131721,17.52641906738281,13.29913516325109,True
7,108,0.54,9.644831657409668,18.759371881131774,9.114540223722104,True
3,100,0.5,6.677644729614258,16.96630439758301,10.28865966796875,True
5,91,0.455,12.158607085545858,17.602658655129225,5.444051569583369,True
9,72,0.36,13.415523064763923,18.101999069515028,4.686476004751105,True
8,69,0.345,12.449203647979319,17.627254342379636,5.178050694400317,True
11,45,0.225,9.69332504272461,15.9048433303833,6.211518287658691,True
0,19,0.095,4.471338272094727,18.703361009296618,14.232022737201891,True
10,19,0.095,12.19683666229248,16.762323951721193,4.565487289428711,True
13,7,0.035,13.354191144307455,17.249203364054363,3.8950122197469077,False
12,6,0.03,14.078365325927734,18.84255377451579,4.764188448588054,False
16,4,0.02,9.670108795166016,17.83748435974121,8.167375564575195,False
18,4,0.02,11.27118968963623,16.020435571670532,4.749245882034302,False
15,4,0.02,14.466581726074219,17.788916397094727,3.3223346710205077,False
14,1,0.005,12.200421333312988,16.110414505004883,3.9099931716918945,False
17,1,0.005,15.314798355102539,18.70919418334961,3.3943958282470703,False
